name,type,lat,lng,startYear,endYear,description
士林芝山岩社,神社,25.09725913,121.5217565,1929,1945,現改建為紀念戴笠的雨農閱覽室
七星稻荷社,神社,25.14040639,121.5038931,1895,1945,資料不足，不能確定年份。
鹿港龍山寺,寺廟,24.050385,120.43494,1786,2026,
艋舺龍山寺,寺廟,25.037347,121.499893,1738,2026,
淡水龍山寺,寺廟,25.17005604,121.4420287,1858,2026,
淡水清水巖,寺廟,25.17033701,121.4410463,1937,2026,
艋舺清水巖,寺廟,25.04021741,121.5025955,1790,2026,
三峽長福巖,寺廟,24.93379492,121.370317,1769,2026,
八德三元宮,寺廟,24.93018914,121.2846573,1787,2026,
臺大伯公亭,寺廟,25.01355653,121.5366505,1826,2026,
